Country,Currency,Currency Name,Capital,latitude,longitude
Mauritius,MUR,Mauritius Rupee,Port Louis,-20.16194,57.49889
Mexico,MXN,Mexican Peso,Mexico City,19.42847,-99.12766
Mongolia,MNT,Tugrik,Ulaanbaatar,47.90771,106.88324
Montenegro,EUR,Euro,Podgorica,42.44111,19.26361
Morocco,MAD,Moroccan Dirham,Rabat,34.01325,-6.83255
Mozambique,MZN,Mozambique Metical,Maputo,-25.96553,32.58322
Myanmar,MMK,Kyat,Nay Pyi Taw,19.745,96.12972
Namibia,ZAR,Rand,Windhoek,-22.55941,17.08323
Nepal,NPR,Nepalese Rupee,Kathmandu,27.70169,85.3206
Netherlands,EUR,Euro,Amsterdam,52.37403,4.88969
New Zealand,NZD,New Zealand Dollar,Wellington,-41.28664,174.77557
Nicaragua,NIO,Cordoba Oro,Managua,12.13282,-86.2504
Niger,XOF,CFA Franc BCEAO,Niamey,13.51366,2.1098
Nigeria,NGN,Naira,Abuja,9.05785,7.49508
Norway,NOK,Norwegian Krone,Oslo,59.91273,10.74609
Oman,OMR,Rial Omani,Muscat,23.61387,58.5922
Pakistan,PKR,Pakistan Rupee,Islamabad,33.72148,73.04329
Palau,USD,US Dollar,Ngerulmud,7.50033,134.62114
Panama,USD,US Dollar,Panama City,8.9936,-79.51973
Papua New Guinea,PGK,Kina,Port Moresby,-9.44314,147.17972
Paraguay,PYG,Guarani,Asuncion,-25.30066,-57.63591
Peru,PEN,Nuevo Sol,Lima,-12.04318,-77.02824
Philippines,PHP,Philippine Peso,Manila,14.6042,120.9822
Poland,PLN,Zloty,Warsaw,52.22977,21.01178
Portugal,EUR,Euro,Lisbon,38.71667,-9.13333
Puerto Rico,USD,US Dollar,San Juan,18.46633,-66.10572
Qatar,QAR,Qatari Rial,Doha,25.27932,51.2245
Romania,RON,New Romanian Leu,Bucharest,44.43225,26.10626
Russian Federation,RUB,Russian Ruble,Moscow,55.75222,37.61556
Rwanda,RWF,Rwanda Franc,Kigali,-1.94995,30.05885
Samoa,WST,Tala,Apia,-13.83333,-171.76666
Sao Tome and Principe,STD,Dobra,Sao Tome,0.33654,6.72732
Saudi Arabia,SAR,Saudi Riyal,Riyadh,24.68773,46.72185
Senegal,XOF,CFA Franc BCEAO,Dakar,14.6937,-17.44406
Serbia,RSD,Serbian Dinar,Belgrade,44.80401,20.46513
Seychelles,SCR,Seychelles Rupee,Victoria,-4.61667,55.45
Sierra Leone,SLL,Leone,Freetown,8.484,-13.22994
Singapore,SGD,Singapore Dollar,Singapore,1.28967,103.85007
Sint Maarten (Dutch part),ANG,Netherlands Antillean Guilder,Philipsburg,18.026,-63.04582
Slovenia,EUR,Euro,Ljubljana,46.05108,14.50513
Solomon Islands,SBD,Solomon Islands Dollar,Honiara,-9.43333,159.95
Somalia,SOS,Somali Shilling,Mogadishu,2.03711,45.34375
South Africa,ZAR,Rand,Cape Town,-33.92584,18.42322
Spain,EUR,Euro,Madrid,40.4165,-3.70256
Sri Lanka,LKR,Sri Lanka Rupee,Colombo,6.93194,79.84778
Sudan,SDG,Sudanese Pound,Khartoum,15.55177,32.53241
Suriname,SRD,Surinam Dollar,Paramaribo,5.86638,-55.16682
Sweden,SEK,Swedish Krona,Stockholm,59.33258,18.0649
Switzerland,CHF,Swiss Franc,Bern,46.94809,7.44744
Tajikistan,TJS,Somoni,Dushanbe,38.53575,68.77905
Thailand,THB,Baht,Bangkok,13.75398,100.50144
Timor-Leste,USD,US Dollar,Dili,-8.55861,125.57361
Togo,XOF,CFA Franc BCEAO,Lome,6.13748,1.21227
Tonga,TOP,Pa'anga,Nuku'alofa,-21.13938,-175.2018
Trinidad and Tobago,TTD,Trinidad and Tobago Dollar,Port-of-Spain,10.66668,-61.51889
Tunisia,TND,Tunisian Dinar,Tunis,36.81897,10.16579
Turkey,TRY,Turkish Lira,Ankara,39.91987,32.85427
Turkmenistan,TMT,Turkmenistan New Manat,Ashgabat,37.95,58.38333
Turks and Caicos Islands,USD,US Dollar,Cockburn Town,21.46122,-71.14188
Uganda,UGX,Uganda Shilling,Kampala,0.31628,32.58219
Ukraine,UAH,Hryvnia,Kiev,50.45466,30.5238
United Arab Emirates,AED,UAE Dirham,Abu Dhabi,24.46667,54.36667
United Kingdom,GBP,Pound Sterling,London,51.50853,-0.12574
United States,USD,US Dollar,"Washington, D.C.",38.89511,-77.03637
Uruguay,UYU,Peso Uruguayo,Montevideo,-34.90328,-56.18816
Vanuatu,VUV,Vatu,Port Vila,-17.73381,168.32188
Zambia,ZMW,Zambian Kwacha,Lusaka,-15.40669,28.28713
Zimbabwe,ZWL,Zimbabwe Dollar,Harare,-17.82272,31.05337
